Title,Director,Category,Hearts,Link
CONNECTIONS Working With CBC Films,,Industry Conference,82,https://2022.tiffr.com/shows/connections-working-with-cbc-films
Corsage,Marie Kreutzer,Special Presentations,605,https://2022.tiffr.com/shows/corsage
Coyote,Katherine Jerkovic,Contemporary World Cinema,156,https://2022.tiffr.com/shows/coyote
Dalíland,Mary Harron,Gala Presentations,647,https://2022.tiffr.com/shows/daliland
Daughter of Rage,Laura Baumeister,Discovery,229,https://2022.tiffr.com/shows/daughter-of-rage
Dear Mama,Allen Hughes,Primetime,173,https://2022.tiffr.com/shows/dear-mama
Decision to Leave,Park Chan-wook,Special Presentations,1263,https://2022.tiffr.com/shows/decision-to-leave
De Humani Corporis Fabrica,"Lucien Castaing-Taylor, Verena Paravel",Wavelengths,213,https://2022.tiffr.com/shows/de-humani-corporis-fabrica
Devotion,JD Dillard,Special Presentations,448,https://2022.tiffr.com/shows/devotion
DIALOGUES Clement Virgo's Brother: From Page to Screen,,Industry Conference,100,https://2022.tiffr.com/shows/microsession-spotlight-on-clement-virgo-s-brother-from-the-page-to-the-screen
DIALOGUES Covering Afghanistan for In Her Hands,,Industry Conference,21,https://2022.tiffr.com/shows/dialogues-covering-afghanistan-for-in-her-hands
DIALOGUES Park Chan-wook and Chung Seo-kyung,,Industry Conference,139,https://2022.tiffr.com/shows/dialogues-co-writers
DIALOGUES Platform Directors,,Industry Conference,84,https://2022.tiffr.com/shows/dialogues-platform-directors
DIALOGUES Primetime,,Industry Conference,98,https://2022.tiffr.com/shows/dialogues-primetime
DIALOGUES Production & Development,,Industry Conference,150,https://2022.tiffr.com/shows/dialogues-production-development
Diaspora,Tyler Mckenzie Evans,Short Cuts,30,https://2022.tiffr.com/shows/diaspora
Documentary Now!,"Alex Buono, Rhys Thomas, Micah Gardner",TIFF Docs,241,https://2022.tiffr.com/shows/documentary-now
Domingo and the Mist,Ariel Escalante Meza,Contemporary World Cinema,128,https://2022.tiffr.com/shows/domingo-and-the-mist
Driving Madeleine,Christian Carion,Special Presentations,360,https://2022.tiffr.com/shows/driving-madeleine
Dry Ground Burning,"Joana Pimenta, Adirley Queirós",Wavelengths,182,https://2022.tiffr.com/shows/dry-ground-burning
elijah woods,,Festival Street,18,https://2022.tiffr.com/shows/elijah-woods
Emily,Frances O'Connor,Platform,609,https://2022.tiffr.com/shows/emily
Empire of Light,Sam Mendes,Special Presentations,1233,https://2022.tiffr.com/shows/empire-of-light
The End of Sex,Sean Garrity,Contemporary World Cinema,397,https://2022.tiffr.com/shows/the-end-of-sex
EO,Jerzy Skolimowski,Contemporary World Cinema,543,https://2022.tiffr.com/shows/eo
The Eternal Daughter,Joanna Hogg,Special Presentations,1006,https://2022.tiffr.com/shows/the-eternal-daughter
EVENTIDE,Sharon Lockhart,Wavelengths,8,https://2022.tiffr.com/shows/eventide
Ever Deadly,"Tanya Tagaq, Chelsea McMullan",TIFF Docs,152,https://2022.tiffr.com/shows/ever-deadly
F1ghting Looks Different 2 Me Now,Fox Maxy,Wavelengths,1,https://2022.tiffr.com/shows/f1ghting-looks-different-2-me-now
The Fabelmans,Steven Spielberg,Special Presentations,1309,https://2022.tiffr.com/shows/the-fabelmans
Falcon Lake,Charlotte Le Bon,Contemporary World Cinema,293,https://2022.tiffr.com/shows/falcon-lake
Fata Morgana,Tacita Dean,Wavelengths,6,https://2022.tiffr.com/shows/fata-morgana
Festival Street Kick Off Event,,Festival Street,52,https://2022.tiffr.com/shows/festival-street-kick-off-event
Fixation,Mercedes Bryce Morgan,Contemporary World Cinema,290,https://2022.tiffr.com/shows/fixation
The Flying Sailor,"Wendy Tilby, Amanda Forbis",Short Cuts,7,https://2022.tiffr.com/shows/the-flying-sailor
Freedom on Fire: Ukraine's Fight For Freedom,Evgeny Afineevsky,Special Presentations,19,https://2022.tiffr.com/shows/freedom-on-fire-ukraine-s-fight-for-freedom
Free Money,"Sam Soko, Lauren DeFilippo",TIFF Docs,265,https://2022.tiffr.com/shows/free-money
The Garbage Man,Laura Gonçalves,Short Cuts,2,https://2022.tiffr.com/shows/the-garbage-man
Gary Screams For You,"Cody McGlashan, Nolan Sordyl",Short Cuts,2,https://2022.tiffr.com/shows/gary-screams-for-you
A Gaza Weekend,Basil Khalil,Discovery,399,https://2022.tiffr.com/shows/a-gaza-weekend
Glass Onion: A Knives Out Mystery,Rian Johnson,Special Presentations,1548,https://2022.tiffr.com/shows/glass-onion-a-knives-out-mystery
Godland,Hlynur Pálmason,Contemporary World Cinema,503,https://2022.tiffr.com/shows/godland
Good Night Oppy,Ryan White,Special Presentations,296,https://2022.tiffr.com/shows/good-night-oppy
The Good Nurse,Tobias Lindholm,Special Presentations,1085,https://2022.tiffr.com/shows/the-good-nurse
The Grab,Gabriela Cowperthwaite,TIFF Docs,238,https://2022.tiffr.com/shows/the-grab
The Gravity,Cédric Ido,Platform,321,https://2022.tiffr.com/shows/the-gravity
The Greatest Beer Run Ever,Peter Farrelly,Gala Presentations,735,https://2022.tiffr.com/shows/the-greatest-beer-run-ever
The Greatest Showman,Michael Gracey,Festival Street,30,https://2022.tiffr.com/shows/the-greatest-showman
The Handmaid's Tale,Elisabeth Moss,Primetime,148,https://2022.tiffr.com/shows/the-handmaid-s-tale
The Happiest Man in the World,Teona Strugar Mitevska,Contemporary World Cinema,247,https://2022.tiffr.com/shows/the-happiest-man-in-the-world
Hawa,Maïmouna Doucouré,Platform,287,https://2022.tiffr.com/shows/hawa
High School,Clea DuVall,Primetime,272,https://2022.tiffr.com/shows/high-school
Hills and Mountains,Salar Pashtoonyar,Short Cuts,2,https://2022.tiffr.com/shows/hills-and-mountains
Holy Spider,Ali Abbasi,Special Presentations,685,https://2022.tiffr.com/shows/holy-spider
Honey Jam Special Performance: Celebrating Women,,Festival Street,24,https://2022.tiffr.com/shows/honey-jam-special-performance-celebrating-women
Horse Opera,Moyra Davey,Wavelengths,6,https://2022.tiffr.com/shows/horse-opera
Horse Opera preceded by EVENTIDE,,Wavelengths,47,https://2022.tiffr.com/shows/horse-opera-preceded-by-eventide
Hors-titre,Wiame Haddad,Wavelengths,2,https://2022.tiffr.com/shows/hors-titre
The Hotel,Wang Xiaoshuai,Contemporary World Cinema,273,https://2022.tiffr.com/shows/the-hotel
How to Blow Up a Pipeline,Daniel Goldhaber,Platform,668,https://2022.tiffr.com/shows/how-to-blow-up-a-pipeline
The Hummingbird,Francesca Archibugi,Gala Presentations,207,https://2022.tiffr.com/shows/the-hummingbird
HUNT,Lee Jung-jae,Gala Presentations,728,https://2022.tiffr.com/shows/hunt
Ice Merchants,João Gonzalez,Short Cuts,9,https://2022.tiffr.com/shows/ice-merchants
If I Had Two Lives,Ash Mayfair,Industry Conference,3,https://2022.tiffr.com/shows/if-i-had-two-lives
I Like Movies,Chandler Levack,Discovery,783,https://2022.tiffr.com/shows/i-like-movies
I'm On Fire,Michael Spiccia,Short Cuts,2,https://2022.tiffr.com/shows/i-m-on-fire
In Conversation With... Damien Chazelle,,In Conversation With...,306,https://2022.tiffr.com/shows/in-conversation-with-damien-chazelle
In Conversation With... Damien Chazelle,,In Conversation With...,49,https://2022.tiffr.com/shows/in-conversation-with-damien-chazelle-870ec83b-c690-4d29-84f2-474ab1afb27f
In Conversation With... Eddie Redmayne,,In Conversation With...,195,https://2022.tiffr.com/shows/in-conversation-with-eddie-redmayne
In Conversation With... Lee Jung-jae & Jung Woo-sung,,In Conversation With...,212,https://2022.tiffr.com/shows/in-conversation-with-lee-jung-jae-jung-woo-sung
In Conversation With... Taylor Swift,,In Conversation With...,598,https://2022.tiffr.com/shows/in-conversation-with-taylor-swift
In Conversation With... Viola Davis & Gina Prince-Bythewood,,In Conversation With...,259,https://2022.tiffr.com/shows/in-conversation-with-viola-davis-gina-prince-bythewood
Industry Conference Closing Cocktail Presented by Ontario Creates,,Industry Conference,118,https://2022.tiffr.com/shows/industry-conference-closing-cocktail-presented-by-ontario-creates
In Her Hands,"Tamana Ayazi, Marcel Mettelsiefen",TIFF Docs,172,https://2022.tiffr.com/shows/in-her-hands
The Inspection,Elegance Bratton,Discovery,565,https://2022.tiffr.com/shows/the-inspection
I Shot Andy Warhol,Mary Harron,TIFF Cinematheque,73,https://2022.tiffr.com/shows/i-shot-andy-warhol
I Thought the World of You,Kurt Walker,Wavelengths,8,https://2022.tiffr.com/shows/i-thought-the-world-of-you
It's What Each Person Needs,Sophy Romvari,Short Cuts,12,https://2022.tiffr.com/shows/it-s-what-each-person-needs
Jason Reitman's Live Read,,Special Presentations,242,https://2022.tiffr.com/shows/jason-reitman-s-live-read
La Jauría,Andrés Ramírez Pulido,Contemporary World Cinema,218,https://2022.tiffr.com/shows/la-jauria
A Jazzman's Blues,Tyler Perry,Gala Presentations,400,https://2022.tiffr.com/shows/a-jazzman-s-blues
Jess and Tay,,Festival Street,4,https://2022.tiffr.com/shows/jess-and-tay
JESSIA,,Festival Street,11,https://2022.tiffr.com/shows/jessia
Joyland,Saim Sadiq,Special Presentations,554,https://2022.tiffr.com/shows/joyland
Kacchey Limbu,Shubham Yogi,Gala Presentations,192,https://2022.tiffr.com/shows/kacchey-limbu
The Kingdom Exodus,Lars von Trier,Primetime,185,https://2022.tiffr.com/shows/the-kingdom-exodus
The King's Horseman,Biyi Bandele,Special Presentations,169,https://2022.tiffr.com/shows/the-king-s-horseman
Lay Me by the Shore,David Findlay,Short Cuts,10,https://2022.tiffr.com/shows/lay-me-by-the-shore
A League of Their Own,Penny Marshall,Festival Street,53,https://2022.tiffr.com/shows/a-league-of-their-own
Learning To Breathe Underwater,Rebekah Fortune,Industry Conference,1,https://2022.tiffr.com/shows/learning-to-breathe-underwater-14e4b374-1172-4024-94d3-41899dcabfa9
Learning To Breathe Underwater,Rebekah Fortune,Industry Conference,0,https://2022.tiffr.com/shows/learning-to-breathe-underwater
Leonor Will Never Die,Martika Ramirez Escobar,Midnight Madness,350,https://2022.tiffr.com/shows/leonor-will-never-die
"Lido Pimienta and Friends, featuring Bear Witness and special guests!",,Festival Street,39,https://2022.tiffr.com/shows/lido-pimienta-and-friends-featuring-bear-witness-and-special-guests
LIDO TV,"Maya Annik Bedward, Alicia K. Harris",Primetime,76,https://2022.tiffr.com/shows/lido-tv
Life,Emir Baigazin,Contemporary World Cinema,228,https://2022.tiffr.com/shows/life
Little Lying Wild,Samantha Aldana,Industry Conference,0,https://2022.tiffr.com/shows/little-lying-wild
Liturgy of Anti-Tank Obstacles,Dmytro Sukholytkyy-Sobchuk,Short Cuts,3,https://2022.tiffr.com/shows/liturgy-of-anti-tank-obstacles
Living,Oliver Hermanus,Contemporary World Cinema,607,https://2022.tiffr.com/shows/living
A Long Break,Davit Pirtskhalava,Discovery,97,https://2022.tiffr.com/shows/a-long-break
The Lost King,Stephen Frears,Special Presentations,645,https://2022.tiffr.com/shows/the-lost-king
Louis Armstrong's Black & Blues,Sacha Jenkins,TIFF Docs,268,https://2022.tiffr.com/shows/louis-armstrong-s-black-blues
Love and Mathematics,Claudia Sainte-Luce,Contemporary World Cinema,172,https://2022.tiffr.com/shows/love-and-mathematics
Love & Basketball,Gina Prince-Bythewood,Festival Street,40,https://2022.tiffr.com/shows/love-basketball
Love Life,Kôji Fukada,Contemporary World Cinema,337,https://2022.tiffr.com/shows/love-life
"Luxembourg, Luxembourg",Antonio Lukich,Contemporary World Cinema,217,https://2022.tiffr.com/shows/luxembourg-luxembourg
The Maiden,Graham Foy,Contemporary World Cinema,250,https://2022.tiffr.com/shows/the-maiden
A Man of Reason,Jung Woo-sung,Special Presentations,559,https://2022.tiffr.com/shows/a-man-of-reason
Manticore,Carlos Vermut,Contemporary World Cinema,270,https://2022.tiffr.com/shows/manticore
Mariupolis 2,Mantas Kvedaravičius,TIFF Docs,110,https://2022.tiffr.com/shows/mariupolis-2
Maya and the Wave,Stephanie Johnes,TIFF Docs,232,https://2022.tiffr.com/shows/maya-and-the-wave
The Melting Creatures,Diego Céspedes,Short Cuts,1,https://2022.tiffr.com/shows/the-melting-creatures
The Menu,Mark Mylod,Special Presentations,1264,https://2022.tiffr.com/shows/the-menu
Meriem Bennani: Life on the CAPS,,Wavelengths,27,https://2022.tiffr.com/shows/meriem-bennani-life-on-the-caps
MICROSESSION All Welcome: Increasing The Accessibility of Events In The Film Industry,,Industry Conference,65,https://2022.tiffr.com/shows/microsession-all-welcome-increasing-the-accessibility-of-events-in-the-film-industry
MICROSESSION Being Seen: Directives for Creating Authentic and Inclusive Content for Feature Film,,Industry Conference,91,https://2022.tiffr.com/shows/microsession-being-seen-directives-for-creating-authentic-and-inclusive-content-for-feature-film
MICROSESSION Indian Women in Cinema,,Industry Conference,30,https://2022.tiffr.com/shows/microsession
MICROSESSION Let's talk Future of Cinema Technology,,Industry Conference,91,https://2022.tiffr.com/shows/microsession-let-s-talk-future-of-cinema-technology
MICROSESSION Powering Entertainment with TikTok,,Industry Conference,94,https://2022.tiffr.com/shows/microsession-powering-entertainment-with-tiktok
MICROSESSION  The Green Lens: The Role of Agencies and Funders in Creating a More Eco-Responsible Industry,,Industry Conference,40,https://2022.tiffr.com/shows/microsession-the-green-lens-the-role-of-agencies-and-funders-in-creating-a-more-eco-responsible-industry
MICROSESSION The Impact of the War in Ukraine on the International Film Industry,,Industry Conference,16,https://2022.tiffr.com/shows/microsession-the-impact-of-the-war-in-ukraine-on-the-international-film-industry
MICROSESSION Underrepresented to Unstoppable: More Voices Need More Opportunities in Film,,Industry Conference,98,https://2022.tiffr.com/shows/microsession-underrepresented-to-unstoppable-more-voices-need-more-opportunities-in-film
Mirror Mirror,Sandulela Asanda,Short Cuts,7,https://2022.tiffr.com/shows/mirror-mirror
"Miúcha, The Voice of Bossa Nova","Daniel Zarvos, Liliane Mutti",TIFF Docs,89,https://2022.tiffr.com/shows/miucha-the-voice-of-bossa-nova
Moonage Daydream,Brett Morgen,Special Presentations,543,https://2022.tiffr.com/shows/moonage-daydream
Moonrise,Vincent Grenier,Wavelengths,2,https://2022.tiffr.com/shows/moonrise
Moving On,Paul Weitz,Gala Presentations,615,https://2022.tiffr.com/shows/moving-on
The Mummy,Stephen Sommers,Festival Street,45,https://2022.tiffr.com/shows/the-mummy
Municipal Relaxation Module,Matthew Rankin,Short Cuts,10,https://2022.tiffr.com/shows/municipal-relaxation-module
Muru,Tearepa Kahi,Contemporary World Cinema,178,https://2022.tiffr.com/shows/muru
My Imaginary Country,Patricio Guzmán,TIFF Docs,118,https://2022.tiffr.com/shows/my-imaginary-country
My Policeman,Michael Grandage,Special Presentations,1088,https://2022.tiffr.com/shows/my-policeman
"My Sailor, My Love",Klaus Härö,Contemporary World Cinema,195,https://2022.tiffr.com/shows/my-sailor-my-love
Mystery Road: Origin,Dylan River,Primetime,41,https://2022.tiffr.com/shows/mystery-road-origin
Nanitic,Carol Nguyen,Short Cuts,13,https://2022.tiffr.com/shows/nanitic
Nanny,Nikyatu Jusu,Special Presentations,408,https://2022.tiffr.com/shows/nanny
The NeverEnding Story,Wolfgang Petersen,Festival Street,20,https://2022.tiffr.com/shows/the-neverending-story
The Newest Olds,Pablo Mazzolo,Wavelengths,5,https://2022.tiffr.com/shows/the-newest-olds
Nightalk,Donald Shebib,Contemporary World Cinema,187,https://2022.tiffr.com/shows/nightalk
No Bears,Jafar Panahi,Special Presentations,365,https://2022.tiffr.com/shows/no-bears
No Ghost in the Morgue,Marilyn Cooke,Short Cuts,6,https://2022.tiffr.com/shows/no-ghost-in-the-morgue
Nope,Jordan Peele,Special Presentations,46,https://2022.tiffr.com/shows/nope-0ddaccc8-b227-49da-928f-dc44db881077
Nope,Jordan Peele,Special Presentations,203,https://2022.tiffr.com/shows/nope
North of Normal,Carly Stone,Contemporary World Cinema,242,https://2022.tiffr.com/shows/north-of-normal
Not Your Average Queen,Rochee Jeffrey,Industry Conference,1,https://2022.tiffr.com/shows/not-your-average-queen
N’xaxaitkw,Asia Youngman,Short Cuts,14,https://2022.tiffr.com/shows/n-xaxaitkw
Old Haunts,Kyoko Miyake,Industry Conference,3,https://2022.tiffr.com/shows/old-haunts-f23a67c2-bd07-4605-af31-e1399bd019a2
Old Haunts,Kyoko Miyake,Industry Conference,2,https://2022.tiffr.com/shows/old-haunts
One Fine Morning,Mia Hansen-Løve,Special Presentations,616,https://2022.tiffr.com/shows/one-fine-morning
On the Come Up,Sanaa Lathan,Special Presentations,409,https://2022.tiffr.com/shows/on-the-come-up
The Origin of Evil,Sébastien Marnier,Contemporary World Cinema,292,https://2022.tiffr.com/shows/the-origin-of-evil
Other People's Children,Rebecca Zlotowski,Special Presentations,268,https://2022.tiffr.com/shows/other-people-s-children
Pacifiction,Albert Serra,Wavelengths,317,https://2022.tiffr.com/shows/pacifiction
Paris Memories,Alice Winocour,Gala Presentations,368,https://2022.tiffr.com/shows/paris-memories
The Pass,Pepi Ginsberg,Short Cuts,14,https://2022.tiffr.com/shows/the-pass
Patrick and the Whale,Mark Fletcher,TIFF Docs,276,https://2022.tiffr.com/shows/patrick-and-the-whale
Pearl,Ti West,Midnight Madness,560,https://2022.tiffr.com/shows/pearl
The People's Joker,Vera Drew,Midnight Madness,399,https://2022.tiffr.com/shows/the-people-s-joker
PERSPECTIVES Comedy Creators,,Industry Conference,97,https://2022.tiffr.com/shows/perspectives-comedy-creators
PERSPECTIVES DocuMentality: The Growth of a Movement,,Industry Conference,50,https://2022.tiffr.com/shows/perspectives-documentality-the-growth-of-a-movement
PERSPECTIVES Narrative Sovereignty: From Slashers to Sci-Fi: Exploring The Significance of Indigenous Genre Films,,Industry Conference,58,https://2022.tiffr.com/shows/perspectives-narrative-sovereignty-from-slashers-to-sci-fi-exploring-the-significance-of-indigenous-genre-films
PERSPECTIVES The Future of Exhibition,,Industry Conference,84,https://2022.tiffr.com/shows/perspectives-the-future-of-exhibition
"PERSPECTIVES Truth, Lies and a Million Dollar Board Game",,Industry Conference,19,https://2022.tiffr.com/shows/perspectives-truth-lies-and-a-million-dollar-board-game
Phantom,Jennifer Noonan,Industry Conference,0,https://2022.tiffr.com/shows/phantom
The Pill,Jenn Shaw,Industry Conference,1,https://2022.tiffr.com/shows/the-pill
The Pill,Jenn Shaw,Industry Conference,1,https://2022.tiffr.com/shows/the-pill
Plan 75,Chie Hayakawa,Contemporary World Cinema,449,https://2022.tiffr.com/shows/plan-75
Pleasure Garden,Rita Ferrando,Short Cuts,12,https://2022.tiffr.com/shows/pleasure-garden
Pray for Our Sinners,Sinéad O'Shea,TIFF Docs,145,https://2022.tiffr.com/shows/pray-for-our-sinners
Prisoner's Daughter,Catherine Hardwicke,Gala Presentations,491,https://2022.tiffr.com/shows/prisoner-s-daughter
Project Wolf Hunting,Kim Hongsun,Midnight Madness,493,https://2022.tiffr.com/shows/project-wolf-hunting
Puerta a puerta,"Luis Arnías, Jessica Sarah Rinland",Wavelengths,0,https://2022.tiffr.com/shows/puerta-a-puerta
Le Pupille,Alice Rohrwacher,Short Cuts,10,https://2022.tiffr.com/shows/le-pupille
Queens of the Qing Dynasty,Ashley McKenzie,Wavelengths,235,https://2022.tiffr.com/shows/queens-of-the-qing-dynasty
Quiet Minds Silent Streets,Karen Chapman,Short Cuts,4,https://2022.tiffr.com/shows/quiet-minds-silent-streets
Raymond & Ray,Rodrigo García,Gala Presentations,686,https://2022.tiffr.com/shows/raymond-ray
RBCxMusic Artist: DESIIRE,,Festival Street,19,https://2022.tiffr.com/shows/rbcxmusic-artist-desiire
RBCxMusic Artist: Jhyve,,Festival Street,13,https://2022.tiffr.com/shows/rbcxmusic-artist-jhyve
RBCxMusic Artist: Kennen,,Festival Street,8,https://2022.tiffr.com/shows/rbcxmusic-artist-kennen
RBCxMusic Artist: Zenesoul,,Festival Street,22,https://2022.tiffr.com/shows/rbcxmusic-artist-zenesoul
Rest Stop,Crystal Kayiza,Short Cuts,5,https://2022.tiffr.com/shows/rest-stop
The Return of Tanya Tucker: Featuring Brandi Carlile,Kathlyn Horan,Special Presentations,79,https://2022.tiffr.com/shows/the-return-of-tanya-tucker-featuring-brandi-carlile
Return to Dust,Li Ruijun,Contemporary World Cinema,191,https://2022.tiffr.com/shows/return-to-dust
Return to Seoul,Davy Chou,Discovery,514,https://2022.tiffr.com/shows/return-to-seoul
Riceboy Sleeps,Anthony Shim,Platform,387,https://2022.tiffr.com/shows/riceboy-sleeps
R.M.N.,Cristian Mungiu,Contemporary World Cinema,338,https://2022.tiffr.com/shows/r-m-n
Roost,Amy Redford,Gala Presentations,488,https://2022.tiffr.com/shows/roost
ROSIE,Gail Maurice,Discovery,310,https://2022.tiffr.com/shows/rosie
Runner,Marian Mathias,Discovery,105,https://2022.tiffr.com/shows/runner
Saint Omer,Alice Diop,Special Presentations,421,https://2022.tiffr.com/shows/saint-omer
Same Old,Lloyd Lee Choi,Short Cuts,8,https://2022.tiffr.com/shows/same-old
Sanctuary,Zachary Wigon,Special Presentations,674,https://2022.tiffr.com/shows/sanctuary
The Sarah Hegazi Documentary,Nicole Teeny,Industry Conference,2,https://2022.tiffr.com/shows/the-sarah-hegazi-documentary
The Sarah Hegazi Documentary,Nicole Teeny,Industry Conference,2,https://2022.tiffr.com/shows/the-sarah-hegazi-documentary
Scaring Women At Night,Karimah Zakia Issa,Short Cuts,13,https://2022.tiffr.com/shows/scaring-women-at-night
School of Rock,Richard Linklater,Festival Street,47,https://2022.tiffr.com/shows/school-of-rock
