Title,Director,Category,Hearts,Link
1899,Baran bo Odar,Primetime,67,https://2022.tiffr.com/shows/1899
752 Is Not A Number,Babak Payami,TIFF Docs,37,https://2022.tiffr.com/shows/752-is-not-a-number
Aftersun,Charlotte Wells,Contemporary World Cinema,335,https://2022.tiffr.com/shows/aftersun
After Work,"Céline Condorelli, Ben Rivers",Wavelengths,2,https://2022.tiffr.com/shows/after-work
Against Reality,Olivia Peace,Short Cuts,4,https://2022.tiffr.com/shows/against-reality
El agua,Elena López Riera,Contemporary World Cinema,83,https://2022.tiffr.com/shows/el-agua
Airhostess-737,Thanasis Neofotistos,Short Cuts,3,https://2022.tiffr.com/shows/airhostess-737
Alam,Firas Khoury,Contemporary World Cinema,45,https://2022.tiffr.com/shows/alam
À la vie à l'amor,Emilie Mannering,Short Cuts,1,https://2022.tiffr.com/shows/a-la-vie-a-l-amor
"Alice, Darling",Mary Nighy,Gala Presentations,250,https://2022.tiffr.com/shows/alice-darling
Allelujah,Richard Eyre,Special Presentations,135,https://2022.tiffr.com/shows/allelujah
All-inclusive,Duván Duque Vargas,Short Cuts,2,https://2022.tiffr.com/shows/all-inclusive
All Quiet on the Western Front,Edward Berger,Special Presentations,187,https://2022.tiffr.com/shows/all-quiet-on-the-western-front
All the Beauty and the Bloodshed,Laura Poitras,TIFF Docs,148,https://2022.tiffr.com/shows/all-the-beauty-and-the-bloodshed
Amanda,Carolina Cavalli,Contemporary World Cinema,68,https://2022.tiffr.com/shows/amanda
Anastasia,Sarah McCarthy,Short Cuts,0,https://2022.tiffr.com/shows/anastasia
Aristotle and Dante Discover the Secrets of the Universe,Aitch Alberto,Discovery,156,https://2022.tiffr.com/shows/aristotle-and-dante-discover-the-secrets-of-the-universe
Ashkal,Youssef Chebbi,Contemporary World Cinema,4,https://2022.tiffr.com/shows/ashkal
Autobiography,Makbul Mubarak,Contemporary World Cinema,41,https://2022.tiffr.com/shows/autobiography
Baba,Mbithi Masya,Short Cuts,3,https://2022.tiffr.com/shows/baba
Baby Ruby,Bess Wohl,Discovery,129,https://2022.tiffr.com/shows/baby-ruby
backflip,Nikita Diakur,Short Cuts,1,https://2022.tiffr.com/shows/backflip
The Banshees Of Inisherin,Martin McDonagh,Special Presentations,493,https://2022.tiffr.com/shows/the-banshees-of-inisherin
Beyond the Wall,Vahid Jalilvand,Contemporary World Cinema,77,https://2022.tiffr.com/shows/beyond-the-wall
Bigger on the Inside,Angelo Madsen Minax,Wavelengths,3,https://2022.tiffr.com/shows/bigger-on-the-inside
The Blackening,Tim Story,Midnight Madness,182,https://2022.tiffr.com/shows/the-blackening
Black Ice,Hubert Davis,Gala Presentations,104,https://2022.tiffr.com/shows/black-ice
"Blind Willow, Sleeping Woman",Pierre Földes,Contemporary World Cinema,116,https://2022.tiffr.com/shows/blind-willow-sleeping-woman
Blueback,Robert Connolly,Special Presentations,82,https://2022.tiffr.com/shows/blueback
The Blue Caftan,Maryam Touzani,Special Presentations,89,https://2022.tiffr.com/shows/the-blue-caftan
Bones of Crows,Marie Clements,Contemporary World Cinema,73,https://2022.tiffr.com/shows/bones-of-crows
Broker,Hirokazu Kore-eda,Special Presentations,421,https://2022.tiffr.com/shows/broker
Bros,Nicholas Stoller,Special Presentations,287,https://2022.tiffr.com/shows/bros
Brother,Clement Virgo,Special Presentations,204,https://2022.tiffr.com/shows/brother
Bruiser,Miles Warren,Discovery,60,https://2022.tiffr.com/shows/bruiser
Buffy Sainte-Marie: Carry It On,Madison Thomas,TIFF Docs,40,https://2022.tiffr.com/shows/buffy-sainte-marie-carry-it-on
Butcher's Crossing,Gabe Polsky,Gala Presentations,245,https://2022.tiffr.com/shows/butcher-s-crossing
CANARY,"Pierre-Hugues Dallaire, Benoit Therriault",Short Cuts,4,https://2022.tiffr.com/shows/canary
Carmen,Benjamin Millepied,Discovery,166,https://2022.tiffr.com/shows/carmen
Casa Susanna,Sébastien Lifshitz,TIFF Docs,70,https://2022.tiffr.com/shows/casa-susanna
Catherine Called Birdy,Lena Dunham,Special Presentations,202,https://2022.tiffr.com/shows/catherine-called-birdy
Causeway,Lila Neugebauer,Special Presentations,359,https://2022.tiffr.com/shows/causeway
CHARCOAL,Carolina Markowicz,Platform,89,https://2022.tiffr.com/shows/charcoal
The Chase,Gurjeet Kaur Bassi,Short Cuts,5,https://2022.tiffr.com/shows/the-chase
Chevalier,Stephen Williams,Special Presentations,244,https://2022.tiffr.com/shows/chevalier
Ciné-Guerrillas: Scenes from the Labudovic Reels,Mila Turajlic,TIFF Docs,19,https://2022.tiffr.com/shows/cine-guerrillas-scenes-from-the-labudovic-reels
The Colour of Ink,Brian D. Johnson,TIFF Docs,40,https://2022.tiffr.com/shows/the-colour-of-ink
Concrete Valley,Antoine Bourges,Wavelengths,57,https://2022.tiffr.com/shows/concrete-valley
CONNECTIONS Breaking in and Moving Forward,,Industry Conference,30,https://2022.tiffr.com/shows/connections-breaking-in-and-moving-forward
CONNECTIONS How to Access Telefilm Funding,,Industry Conference,29,https://2022.tiffr.com/shows/connections-how-to-access-telefilm-funding
CONNECTIONS Pathways from Shorts to First Features,,Industry Conference,23,https://2022.tiffr.com/shows/connections-pathways-from-shorts-to-first-features
CONNECTIONS The ReFrame ReSource,,Industry Conference,7,https://2022.tiffr.com/shows/connections-the-reframe-resource
Corsage,Marie Kreutzer,Special Presentations,217,https://2022.tiffr.com/shows/corsage
Coyote,Katherine Jerkovic,Contemporary World Cinema,53,https://2022.tiffr.com/shows/coyote
Dalíland,Mary Harron,Gala Presentations,197,https://2022.tiffr.com/shows/daliland
Daughter of Rage,Laura Baumeister,Discovery,58,https://2022.tiffr.com/shows/daughter-of-rage
Dear Mama,Allen Hughes,Primetime,44,https://2022.tiffr.com/shows/dear-mama
Decision to Leave,Park Chan-wook,Special Presentations,491,https://2022.tiffr.com/shows/decision-to-leave
De Humani Corporis Fabrica,"Lucien Castaing-Taylor, Verena Paravel",Wavelengths,89,https://2022.tiffr.com/shows/de-humani-corporis-fabrica
Devotion,JD Dillard,Special Presentations,183,https://2022.tiffr.com/shows/devotion
DIALOGUES Clement Virgo's Brother: From Page to Screen,,Industry Conference,12,https://2022.tiffr.com/shows/microsession-spotlight-on-clement-virgo-s-brother-from-the-page-to-the-screen
DIALOGUES Covering Afghanistan for In Her Hands,,Industry Conference,5,https://2022.tiffr.com/shows/dialogues-covering-afghanistan-for-in-her-hands
DIALOGUES Co-Writers,,Industry Conference,21,https://2022.tiffr.com/shows/dialogues-co-writers
DIALOGUES Platform Directors,,Industry Conference,17,https://2022.tiffr.com/shows/dialogues-platform-directors
DIALOGUES Primetime,,Industry Conference,16,https://2022.tiffr.com/shows/dialogues-primetime
DIALOGUES Production & Development,,Industry Conference,26,https://2022.tiffr.com/shows/dialogues-production-development
Diaspora,Tyler Mckenzie Evans,Short Cuts,6,https://2022.tiffr.com/shows/diaspora
Documentary Now!,"Alex Buono, Rhys Thomas, Micah Gardner",TIFF Docs,90,https://2022.tiffr.com/shows/documentary-now
Domingo and the Mist,Ariel Escalante Meza,Contemporary World Cinema,45,https://2022.tiffr.com/shows/domingo-and-the-mist
Driving Madeleine,Christian Carion,Special Presentations,109,https://2022.tiffr.com/shows/driving-madeleine
Dry Ground Burning,"Joana Pimenta, Adirley Queirós",Wavelengths,64,https://2022.tiffr.com/shows/dry-ground-burning
Emily,Frances O'Connor,Platform,187,https://2022.tiffr.com/shows/emily
Empire of Light,Sam Mendes,Special Presentations,495,https://2022.tiffr.com/shows/empire-of-light
The End of Sex,Sean Garrity,Contemporary World Cinema,133,https://2022.tiffr.com/shows/the-end-of-sex
EO,Jerzy Skolimowski,Contemporary World Cinema,225,https://2022.tiffr.com/shows/eo
The Eternal Daughter,Joanna Hogg,Special Presentations,408,https://2022.tiffr.com/shows/the-eternal-daughter
EVENTIDE,Sharon Lockhart,Wavelengths,4,https://2022.tiffr.com/shows/eventide
Ever Deadly,"Tanya Tagaq, Chelsea McMullan",TIFF Docs,30,https://2022.tiffr.com/shows/ever-deadly
F1ghting Looks Different 2 Me Now,Fox Maxy,Wavelengths,0,https://2022.tiffr.com/shows/f1ghting-looks-different-2-me-now
The Fabelmans,Steven Spielberg,Special Presentations,540,https://2022.tiffr.com/shows/the-fabelmans
Falcon Lake,Charlotte Le Bon,Contemporary World Cinema,86,https://2022.tiffr.com/shows/falcon-lake
Fata Morgana,Tacita Dean,Wavelengths,2,https://2022.tiffr.com/shows/fata-morgana
Fixation,Mercedes Bryce Morgan,Contemporary World Cinema,89,https://2022.tiffr.com/shows/fixation
The Flying Sailor,"Wendy Tilby, Amanda Forbis",Short Cuts,2,https://2022.tiffr.com/shows/the-flying-sailor
Free Money,"Sam Soko, Lauren DeFilippo",TIFF Docs,66,https://2022.tiffr.com/shows/free-money
The Garbage Man,Laura Gonçalves,Short Cuts,1,https://2022.tiffr.com/shows/the-garbage-man
Gary Screams For You,"Cody McGlashan, Nolan Sordyl",Short Cuts,1,https://2022.tiffr.com/shows/gary-screams-for-you
A Gaza Weekend,Basil Khalil,Discovery,126,https://2022.tiffr.com/shows/a-gaza-weekend
Glass Onion: A Knives Out Mystery,Rian Johnson,Special Presentations,603,https://2022.tiffr.com/shows/glass-onion-a-knives-out-mystery
Godland,Hlynur Pálmason,Contemporary World Cinema,185,https://2022.tiffr.com/shows/godland
Good Night Oppy,Ryan White,Special Presentations,100,https://2022.tiffr.com/shows/good-night-oppy
The Good Nurse,Tobias Lindholm,Special Presentations,379,https://2022.tiffr.com/shows/the-good-nurse
The Grab,Gabriela Cowperthwaite,TIFF Docs,61,https://2022.tiffr.com/shows/the-grab
The Gravity,Cédric Ido,Platform,109,https://2022.tiffr.com/shows/the-gravity
The Greatest Beer Run Ever,Peter Farrelly,Gala Presentations,288,https://2022.tiffr.com/shows/the-greatest-beer-run-ever
The Handmaid's Tale,Elisabeth Moss,Primetime,40,https://2022.tiffr.com/shows/the-handmaid-s-tale
The Happiest Man in the World,Teona Strugar Mitevska,Contemporary World Cinema,79,https://2022.tiffr.com/shows/the-happiest-man-in-the-world
Hawa,Maïmouna Doucouré,Platform,68,https://2022.tiffr.com/shows/hawa
High School,Clea DuVall,Primetime,75,https://2022.tiffr.com/shows/high-school
Hills and Mountains,Salar Pashtoonyar,Short Cuts,0,https://2022.tiffr.com/shows/hills-and-mountains
Holy Spider,Ali Abbasi,Special Presentations,278,https://2022.tiffr.com/shows/holy-spider
Horse Opera,Moyra Davey,Wavelengths,2,https://2022.tiffr.com/shows/horse-opera
Horse Opera preceded by EVENTIDE,,Wavelengths,27,https://2022.tiffr.com/shows/horse-opera-preceded-by-eventide
Hors-titre,Wiame Haddad,Wavelengths,0,https://2022.tiffr.com/shows/hors-titre
The Hotel,Wang Xiaoshuai,Contemporary World Cinema,96,https://2022.tiffr.com/shows/the-hotel
How to Blow Up a Pipeline,Daniel Goldhaber,Platform,254,https://2022.tiffr.com/shows/how-to-blow-up-a-pipeline
The Hummingbird,Francesca Archibugi,Gala Presentations,57,https://2022.tiffr.com/shows/the-hummingbird
Hunt,Lee Jung-jae,Gala Presentations,255,https://2022.tiffr.com/shows/hunt
Ice Merchants,João Gonzalez,Short Cuts,0,https://2022.tiffr.com/shows/ice-merchants
I Like Movies,Chandler Levack,Discovery,253,https://2022.tiffr.com/shows/i-like-movies
I'm On Fire,Michael Spiccia,Short Cuts,1,https://2022.tiffr.com/shows/i-m-on-fire
In Conversation With... Damien Chazelle,,In Conversation With...,129,https://2022.tiffr.com/shows/in-conversation-with-damien-chazelle
In Conversation With... Eddie Redmayne,,In Conversation With...,35,https://2022.tiffr.com/shows/in-conversation-with-eddie-redmayne
In Conversation With... Lee Jung-jae & Jung Woo-sung,,In Conversation With...,52,https://2022.tiffr.com/shows/in-conversation-with-lee-jung-jae-jung-woo-sung
In Conversation With... Viola Davis & Gina Prince-Bythewood,,In Conversation With...,77,https://2022.tiffr.com/shows/in-conversation-with-viola-davis-gina-prince-bythewood
In Her Hands,"Tamana Ayazi, Marcel Mettelsiefen",TIFF Docs,39,https://2022.tiffr.com/shows/in-her-hands
The Inspection,Elegance Bratton,Discovery,204,https://2022.tiffr.com/shows/the-inspection
I Thought the World of You,Kurt Walker,Wavelengths,5,https://2022.tiffr.com/shows/i-thought-the-world-of-you
It's What Each Person Needs,Sophy Romvari,Short Cuts,5,https://2022.tiffr.com/shows/it-s-what-each-person-needs
Jason Reitman's Live Read,,Special Presentations,163,https://2022.tiffr.com/shows/jason-reitman-s-live-read
La Jauría,Andrés Ramírez Pulido,Contemporary World Cinema,55,https://2022.tiffr.com/shows/la-jauria
A Jazzman's Blues,Tyler Perry,Gala Presentations,124,https://2022.tiffr.com/shows/a-jazzman-s-blues
Joyland,Saim Sadiq,Special Presentations,177,https://2022.tiffr.com/shows/joyland
